F1,F2,F3,F4
105.094,557.781,801.625,882.235
160.468,613.125,770.907,894.031
150.266,590.765,761.469,891.469
140.313,572.984,759.578,879.781
135.5,555.484,759.516,865.235
127.765,550.61,754.703,888.484
132.703,553.328,752.25,888.266
130.219,548.547,743.953,902.531
120.156,524.75,742.016,891.782
117.375,517.766,739.187,1024.453
120.547,522.703,734.203,879.86
117.687,522.907,731.515,902.813
112.703,508.406,731.469,923.172
107.907,498.296,726.36,886.39
105.11,487.937,726.172,914.469
109.938,492.546,719.719,900.641
107.515,495.328,718.532,905.5
105.375,515.734,762.047,900.641
127.781,532.391,734.203,890.953
112.625,502.906,725.813,885.656
102.844,482.265,723.063,938
100.078,472.391,721,906.312
97.797,462.343,717,911.937
95.234,459.922,708.86,894.094
92.75,449.796,709.125,902.781
90.422,437.312,704.641,908.593
87.656,429.859,701.297,893.579
85.422,429.844,698.828,917.266
85.219,422.39,696.735,905.531
82.563,412.203,693.375,891.078
62.625,389.125,734.485,875.5
122.484,477.75,688.781,925.297
87.813,428.953,698.406,903.016
85.016,417.312,691.688,900.593
77.562,404.907,688.562,937.594
80.235,409.703,691.578,884.891
82.281,409.687,686.141,892
77.594,394.781,681.188,914.703
75.141,379.719,678.406,902.578
72.375,374.485,674.359,911.703
75.016,379.14,673.797,908.188
72.531,372.5,671.11,936.875
70.093,356.485,669.156,919.687
64.938,344.5,665.812,973.031
62.469,341.89,660.906,891.093
65.063,349.125,659.125,955.297
65.094,346.672,658.906,925.719
29.875,262.985,696.5,1027.766
82.672,397.469,689,928.39
72.812,376.407,681,890.735
67.375,359.562,673.25,916.937
65.031,348.969,668.968,887.875
62.657,341.047,666.546,908.437
62.375,333.75,664.078,919.906
62.969,331.781,659.016,931.313
60.093,323.907,656.359,945.984
57.641,321.5,653.64,934.516
59.985,320.812,648.906,972.234
60.172,319.078,651.562,927.407
57.656,314.141,646.75,894.5
57.813,311.39,643.75,917.375
57.453,303.953,643.703,917.906
55.046,301,639.282,922.953
55.156,301.469,638.969,914.187
47.547,288.922,681.344,999.188
414.313,1123.719,1054.687,791.938
433.656,1145.532,1023.203,754.61
436.844,1148.484,998.687,785.969
444.516,1135.687,1005.125,752.625
440.312,1138.969,995.391,785.687
449.266,1137,982.109,747.531
450.235,1132.718,983.219,748.578
451.547,1126.515,969.407,748.625
451.859,1121.344,956,767.532
431.437,1118.922,970.172,797.266
439.656,1095.657,969.172,765.125
271.516,1004.484,867.688,844.281
435.844,1085.89,949.047,774.516
438.531,1068.469,943.985,775.968
429.703,1053.031,949.5,737.656
410.5,1051.125,962.235,777.218
397.953,1033.656,982.078,810.781
407.75,1012.219,952.812,776.062
402.281,995.36,956.953,789.125
313.985,1055.437,1084.953,740.343
418.453,1138.031,1020.672,655.531
413.485,1123.484,1011.86,729.266
403.453,1109.687,1011.11,693.844
392.766,1085.828,1007.422,725.735
381.766,1066.718,1006.625,757.375
371.265,1047.375,1006.5,725.969
362.062,1035.782,1010.203,722.343
354.39,1008.156,1016.469,794.281
344.25,992.563,1007.953,760.594
336.344,966.5,1012.547,775.281
295.782,982.812,1048,711.125
325.465,983.546,1001.356,322.25
361.75,1010.89,1012.203,762.312
354.203,987.938,995.484,838.266
336.094,950.078,995.468,855.797
319.109,917.391,998.64,782.875
306.422,907.891,990.219,846.734
303.735,896.562,982.625,823.454
288.469,864.718,983,800.25
276.016,839.625,979.875,886.078
261.031,819.781,979.859,829.296
258.219,816.156,969.407,901.969
256.078,811.203,959.828,882.579
248.719,787.172,959.937,841.296
182.938,802.047,1035.312,774.5
248.359,797.438,969.891,1071.109
228.594,758.906,956.094,966.782
213.407,734.656,945.703,931.625
152.812,774.344,1024.203,699.296
339.641,937.906,980.438,867.125
311.422,885.343,973.391,779.89
276.515,827.25,978.375,814.891
258.438,788.968,970.875,870.562
238.672,759.906,955.75,826.438
225.86,746.453,940.5,931.641
218.297,718.75,935.078,1021.875
203.61,699.5,925.031,849.672
190.921,678.5,912.782,896.234
180.406,658.766,907.922,972.125
175.562,653.672,899.875,1016.718
168.156,633.328,892.844,1078.063
163.047,613.515,880.86,952.609
153.015,591.547,867.641,957.297
143.203,568.078,864.5,1066.296
140.562,571.016,854.25,1112.89
145.562,560.391,840.172,935.203
130.578,535.14,835.266,1034.25
122.766,515.265,829.657,1147.516
115.485,497.64,819,975.672
110.625,483.296,811.922,1127.86
107.969,469.984,809.532,910.875
105.484,457.594,796.625,1158.828
100.125,442.156,788.578,1119.281
95.375,429.625,780.75,1135.313
90.25,414.766,774.328,983.718
87.297,402.484,767.203,969.766
85.266,391.75,759.218,1080.453
80.094,374.781,751.531,896.859
34.813,258.906,791.938,958.281
92.704,412.375,779.078,931.86
77.921,367.266,754.609,870.547
75.344,346.89,742.047,917.203
72.594,339.515,734.281,1103.984
75.047,342.016,732.859,1217.375
72.36,334.281,726.656,973
70.047,319.188,716.281,975.359
65.265,308.86,698.64,1004.907
60.141,291.187,690.922,896.906
62.641,291.437,697.328,940.969
62.531,296.078,688.531,1089.219
45.063,279.031,812.297,931.781
102.61,424.703,790.781,884.984
85.39,387.156,771.563,940.469
80.093,356.75,751.047,969.515
73.016,329.031,740.703,1008.047
67.328,316.672,726.718,1074.844
65.141,304.156,715.844,931.906
62.781,297.141,706.031,1089.203
62.329,286.875,696.343,1027.828
57.531,278.641,689,882.5
57.422,268.719,683.656,928.828
54.922,263.593,676.407,925.953
52.844,253.343,666.766,996.079
32.563,195.437,696.031,1016.047
64.875,301.718,705.75,963.781
57.547,273.672,688.562,1031.109
55.11,260.937,671.266,908.453
49.937,246.016,656.187,1066.063
47.422,235.937,648.984,1010.781
47.562,233.485,651.734,1062.89
45.016,230.969,641.234,908.422
42.64,217.766,626.125,1031.484
40.032,215.359,620.891,1106
42.672,213.734,623.281,984.563
42.312,213.516,620.672,937.734
39.906,206.062,611.407,1001.735
37.594,198.422,596.328,932.234
34.985,193.265,590.891,966.907
34.766,193.14,595.828,1034.578
37.531,198.312,600.735,972.5
37.593,211.36,668.906,871.032
47.562,241.094,653.406,1024.859
40.14,215.829,628.031,961.375
34.891,198.656,607.531,897.157
35.094,190.328,595.859,1095.547
32.453,183.312,585.969,969.781
30.125,180.75,575.5,1100.687
30.062,173.016,570.984,882.438
27.734,167.938,558.359,917.344
27.578,163.109,553.235,908.109
27.797,160.375,551.047,847.375
24.969,158.062,543.344,858.969
24.875,153.172,532.891,960.891
17.547,132.875,548.016,1029.688
42.515,220.578,591.032,858.422
27.453,163.094,560.438,990.219
24.922,158.047,543.672,1145.11
22.453,148.063,533.031,902.672
24.969,152.938,540.937,928.563
22.453,152.75,532.953,993.844
22.438,145.718,520.453,1115.453
19.922,138.172,505.563,1080.078
20,132.532,495.671,969.843
20,135.141,505.328,951.75
20,133.047,495.641,901.813
17.343,127.672,485.313,881.828
14.954,122.937,467.703,853.672
17.515,122.625,467.719,885.25
17.5,125.453,472.766,917.437
15.016,125.218,467.797,989.688
2.469,89.844,442.031,998.688
22.656,150.36,533.375,1100.125
19.984,135.469,504.516,1018.688
17.484,125.047,482.531,890.719
15.015,122.531,469.641,911.297
14.954,120,459.734,905.469
12.484,114.953,449.953,841.344
12.563,113.125,443.109,937.109
12.562,110.297,434.797,832.516
12.609,107.454,430.14,957.796
12.438,104.719,424.734,1062.422
9.922,105.375,420.156,1093.265
9.906,102.969,412.594,955.656
10.063,100.312,404.578,838.657
9.906,97.782,404.625,1045.953
10.031,95.047,397.14,1033.547
10.031,95.406,392.235,981.188
7.5,97.547,417.672,1045.719
360.985,1032.437,994.86,696.344
417.593,1044.844,952.172,611.656
415.812,1068.016,945.234,642.75
418.532,1076.359,936.469,629.375
426.875,1068.969,928.688,593.937
440.672,1069.844,920.109,620.766
446.329,1069.031,912.844,659.141
449.343,1074.141,904.719,575.688
449.25,1077.078,905.36,672.109
452.641,1077.093,904.078,588.235
451.219,1080.781,906.75,620.312
375.281,1020.156,825.406,627.438
461.64,1080.329,885.406,615.546
459.171,1074.86,894.265,598.922
451.344,1081.437,893.469,616.61
460.906,1063.422,890.578,613.25
454.703,1064.531,889.938,616.141
459.578,1059.516,892.14,583.156
459.547,1059.265,879.516,662.031
365.094,1044.531,1035.578,585.344
405.813,1138.656,965.703,602.859
418.156,1146.688,942.344,554.781
428.172,1121.172,939.219,672.625
424.234,1111.938,947.781,600.547
410.609,1127.094,947.031,603.015
418.969,1105.437,944.094,551.875
418.672,1105.797,943.437,586.375
417.875,1093.25,938.297,599.797
417.672,1093.625,939.047,567.843
416.047,1090.36,946.578,615.454
391.109,1067.813,982.921,601.547
411.546,1089.564,937.663,191.734
430.328,1111.14,922.016,611.594
430.36,1107.937,912.438,573.578
422.391,1098.078,915.359,574.094
412.219,1089.093,920.438,647.109
415.172,1088.765,915.11,606.078
419.641,1082.5,914.906,582.75
411.813,1073.359,915.344,626.5
406.843,1060.954,917.062,613.375
404.609,1053.907,914.25,644.188
406.625,1060.063,909.297,634.61
409.203,1065.235,902.172,629.89
407.515,1058.656,904.313,611.437
369.5,1055.719,950.266,634.875
394.766,1055.515,908.141,672.579
389.765,1038.688,909.937,664.203
385.141,1029.297,910.219,637.735
359.64,1018.235,964.047,577.125
442.828,1111.187,875.094,599.829
430.016,1088.828,887.609,608.719
412.266,1063.5,892.734,612.329
402.219,1052.984,890.812,600.219
395.218,1038.75,895.547,603.297
392.219,1035.718,892.579,629.203
392,1022.859,894.563,632.125
384.75,1018.219,893.062,628.718
376.906,1010.297,894.828,669.453
369.75,998.172,897.469,643.562
369.578,1003.063,889.515,649.922
366.546,996.094,886.531,673.563
364.719,980.484,888.563,647.313
354.765,973.532,887.093,661.375
347.125,964.734,885.484,679.218
351.766,965.344,879.593,591.875
354.5,965.656,870.188,650.125
339.344,947.859,882.203,667.625
328.796,943.079,874.828,626.485
326.703,929.657,877.812,676.016
322.094,922.843,873.578,726.172
319.094,917.64,870.203,669.906
314.11,909.656,868.594,690.156
308.828,904.032,864.203,685.516
301.39,894.141,866.109,707.375
298.719,887.688,864.468,710.391
291.5,877.594,866.828,690.312
288.687,871.891,860.468,707.812
281.312,859.922,859.344,719.641
243.406,852.25,894.766,707.844
286.438,859.796,860.032,693.531
266.61,835.39,861.219,719.484
258.781,822.516,863.875,719.625
261.406,822.141,858.015,711.062
266.078,828.734,853.125,705.188
265.813,824.781,851.922,748.796
255.937,812,850.797,731.109
248.734,794.187,851.11,702.235
238.25,786.438,855.859,722.593
245.984,787.953,848.782,740.015
245.578,794.125,840.953,702.031
225.86,820.062,900.031,707.937
270.969,846.062,862.094,687.844
261.5,829.328,861.204,705.25
256.172,813.968,853.891,728.203
249.031,798.579,852.796,702.453
240.515,789.578,850.875,737.203
238.468,783.75,851.016,711
234.297,773.797,848.219,725.375
230.875,769.375,845.671,733.844
225.843,764.016,841.359,722.594
223.047,756.688,841,748.75
218.203,749.156,841.219,725.266
213.219,747.141,839.453,731.125
190.219,751.469,869.671,727.938
235.797,771.484,841.828,716.469
223.125,761.766,837.468,745.922
218.343,744.063,833.328,745.906
213.375,731.359,839.782,731.281
205.469,726.859,832.688,728.344
210.766,732.25,826.89,731.125
208.297,724.062,827.266,757.063
200.25,708.719,824.937,737.484
195.156,701.328,824.938,797.438
198.531,703.641,822.187,743.063
197.969,703.906,824.813,757.297
193.094,696.593,822.672,722.359
185.797,679.312,824.828,746.625
185.438,671.109,819.672,763.125
182.703,678.844,818.437,763.829
188.141,683.469,814.703,757.093
183.5,709.344,856.984,755.078
205.516,716.515,821.204,722.172
195.453,688.563,824.312,745.922
183.25,673.094,822.015,795.328
177.75,661.031,822.578,737.453
175.625,653.844,820.391,713.953
173.359,645.703,817.578,757.313
167.922,638.797,814.938,754.265
163.125,626,813.563,783.438
160.515,623.766,815.156,759.688
158.125,618.656,810.61,771.64
153.015,613.75,808.797,786.125
152.781,608.313,805.64,780.453
130.313,598.406,848.11,779.531
203.062,651.031,787.328,756.687
163.078,615.297,814.625,754.547
152.766,606.453,810.484,752.109
147.938,600.812,808.094,777.641
150.375,603.641,803.406,786
150.157,600.875,802.75,766.875
145.515,585.985,800.562,780.844
140.438,575.797,798.203,786.219
137.36,563.422,799.062,772.094
140.156,568,797.891,753.937
138.016,563.484,792.922,779.718
132.5,553.265,793.344,779.953
127.797,538.172,795.235,812.984
125.015,535.75,790.422,783.406
127.969,540.609,788.219,774.89
127.766,538.14,785.938,855.86
89.844,489.531,839.469,818.235
148.016,586.219,802.718,797.453
140.297,570.047,800.796,771.406
135.109,553.125,793.235,777.25
132.5,540.328,791.64,783.265
127.391,535.063,789,800.75
124.922,532.843,789.453,823.86
123.156,523.719,789.063,753.797
117.812,517.828,784.406,797.593
120.063,513.062,784.188,786.125
117.157,510.093,777.266,800.516
117.765,507.985,780.125,776
115.406,500.391,777.906,792.625
115.36,494.968,779.907,815.5
112.641,490.312,774.75,816.015
112.546,490.141,772.578,791.938
110.484,485,772.719,792
97.531,492.969,814.719,850.734
267.578,899.453,1073.781,645.25
336.688,958.656,970.485,693.782
335.422,953.328,968.109,707.969
294.297,918.907,1031.39,673.453
434.312,977.485,848.64,667.234
433.297,975.031,849.547,633.266
424.219,968.172,841.422,662.812
423.547,949.282,844.906,675.297
287.234,907.344,1021.719,660.969
429.875,964.969,849.078,651.234
428.89,964.985,836.89,631.344
424.844,948.594,838.078,687.093
413.141,934.265,838.656,702.578
309.922,932.359,959.156,679.219
412.468,928.75,833.735,679.906
416.343,931.063,827.531,687.672
408.219,919.188,823.578,690.547
399.86,901.765,824.407,664.61
324.734,909.172,908.969,704.062
383.703,867.906,829.422,718.219
373.875,857.75,825.719,667.454
373.641,847.359,828.109,675.5
371.141,836.422,820.593,686.594
236.156,823,975.219,694.718
388.125,878.453,824.359,638.531
391.578,877.094,819.969,672.328
386.344,873.469,811.484,693.891
378.828,856.188,812.609,719.406
306.875,874.859,879.078,742.454
362.203,829.172,803.25,677.453
362.093,817.11,801.922,679.485
358.734,810.438,802.031,707.359
351.828,802.75,798.531,671.781
270.531,825.265,853.547,776.281
341.032,774.75,786.375,671.672
334.422,758.484,787.375,676.391
329.344,744.688,783.172,695.922
328.344,743.968,779.016,719.672
188.531,720.422,927.406,712.25
355.328,792.391,804.109,643.313
344.421,773.329,792.078,738.5
330.406,746.672,787.141,688.156
319.766,725.421,781.766,664.485
222.782,732.984,842.234,791.484
301.953,700.64,767.282,0
329.654,786.12,812.46,463.328
399.063,888.109,810.469,655.297
389.062,869.86,806.14,609.062
381.203,845.891,803.406,635.437
368.235,826.578,797.094,589.157
266.734,840.437,888.563,694.39
366.797,829.281,783,626.062
357.125,803.953,788.109,614.484
343.578,778.704,785.64,704.422
332.141,767.422,777.578,661.953
207.187,762.907,878.656,755.391
326.166,763.168,798.16,14.953
360.688,805.328,787.516,630.796
348.343,778.485,786.047,645.547
331.89,759.188,773.5,670.719
326.094,734.562,769.063,693.781
226.796,748.985,828.375,779.109
308.516,703.781,760.157,670.625
305.266,690.719,752.093,671.672
293.063,676.25,750.75,684.969
290.797,666.813,745.484,693.656
188.062,669.484,810.079,772.25
281.187,648.86,730.734,693.782
272.735,634.484,726.703,671.5
270.079,623,725.125,741.875
263.922,618.828,710.5,721.531
119.766,556.141,827.859,960.844
280.406,648.734,729.313,738.344
276.563,631.75,720.766,689.984
268.734,622.562,708.704,717.25
260.609,606.109,706.469,715.25
154.453,585.766,779.469,793.203
258.5,588.25,694.797,702.64
250.188,581.921,689.547,717.734
251.5,578.203,681.281,694.797
243.781,567.891,678.469,718.156
132.969,534.234,751.531,770.344
240.109,545.75,670.141,720.516
231.484,544.11,665.265,692.937
232.703,541.297,663.016,728.953
233.828,533.953,661.36,697.688
71.36,406.625,779.593,802.516
252.234,572.75,680.187,748.11
243.156,559.984,667.36,692.453
233.438,538.719,663.843,714.407
229.547,530.172,657.36,739.172
73.172,394.469,765.922,812.297
237.328,548.188,662.687,716.172
232.687,533.828,659.594,721.735
223.39,525.282,658.828,724.953
224.344,519.578,642.375,698.313
115.812,475.907,719.14,794.796
214.625,512.157,642.172,730.422
216.828,507.047,632.047,733.906
212.797,497.406,629.938,696.625
206.547,498.36,619.625,747.5
106.687,433.907,696.421,809.891
202.875,487.641,620.344,723.265
203.968,482.532,615.609,716.063
202.063,478.703,614,737.891
200.219,474.078,609,755.218
48.657,340.078,767.343,805.546
243.656,558.953,684.11,695.86
244.359,555.641,674.016,733.75
239.953,551.828,664.063,722.515
235.25,534.672,661.344,707.438
130.828,485.031,735.079,763.406
219.594,521.875,643.516,711.282
220.375,511.172,644.828,716.969
221,512.984,639.594,701.437
221.953,514.641,628.687,684.969
114.281,457.172,707.406,791.563
212.421,493.766,630.281,732.64
200.109,482.485,625.343,714.297
201.344,471.781,615.438,732.297
196.375,468.484,606.328,708.968
52.094,310.75,739.171,828.906
228.203,523.532,657.047,723.328
223.515,513.75,653.75,718.609
218.266,516.172,636.703,695.953
212.031,497.391,637.718,688.531
112.875,444.062,705.922,780
208.062,486.578,626.032,771.234
209.157,482.406,623.969,714.625
202.657,491.234,627.188,690.843
203.046,492.938,615.297,720.39
107.875,419.5,693.657,744.625
198.75,475.953,606.657,714.156
